name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Little Dipper (Memphis Kiddie Park),Memphis Kiddie Park,operating,steel,Allan Herschell Company,,,,,,1952-04-01,,41.4405,-81.7577,
High Speed Thrill Coaster,Knoebels Amusement Resort,closed,steel,,61.0,5.5,,,,1955-01-01,2008,40.8801,-76.5027,
Sea Dragon (roller coaster),Rides At Adventure Cove,operating,wood,Philadelphia Toboggan Coasters,400.0,11.0,40.0,640,,1956-01-01,,40.1544,-83.1203,90
Big Dipper (Camden Park),Camden Park,operating,other,National Amusement Devices,,,,,,1958-01-01,,,,100
Wild Mouse (Blackpool Pleasure Beach),Blackpool Pleasure Beach,closed,wood,Blackpool Pleasure Beach,386.0,15.0,56.0,,1.8,1958-01-01,2017,53.7913,-3.0561,90
Wooden Roller Coaster (Playland),Playland,closed,wood,,870.0,23.0,80.467,,,1958-01-01,,49.2824,-123.0352,
Matterhorn Bobsleds,Other,operating,steel,Arrow Development,620.9,24.4,43.5,,,1959-06-14,,,,127
Tornado (Wedgewood Village Amusement Park),"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",closed,other,,,,,,,,,,,
Blue Streak (Cedar Point),Cedar Point,operating,wood,Philadelphia Toboggan Coasters,780.0,24.0,64.0,1400,,1964-05-23,,41.4799,-82.6826,105
Jetstream (roller coaster),Riverview Park,closed,wood,Philadelphia Toboggan Coasters,,,,,,1964-01-01,1967,41.9418,-87.6907,
Montaña Rusa (La Feria Chapultepec Mágico),La Feria Chapultepec Mágico,closed,wood,National Amusement Devices,1200.0,34.0,,,,1964-10-22,28 September 2019,19.4164,-99.1956,
Giant Coaster (Fuji-Q Highland),Fuji-Q Highland,closed,steel,Sansei Technologies,,,80.467,,,1966-01-01,1997,35.487,138.78,200
Runaway Mine Train (Six Flags Over Texas),Six Flags Over Texas,operating,steel,Arrow Development,730.0,11.0,56.0,2010,,1966-07-23,,32.7585,-97.0685,190
Swamp Fox (roller coaster),Family Kingdom Amusement Park,operating,wood,Philadelphia Toboggan Coasters,730.0,23.0,80.0,,,1966-01-01,,33.6825,-78.8917,
Cannon Ball (roller coaster),Lake Winnepesaukah,operating,wood,Philadelphia Toboggan Coasters,693.0,21.0,80.0,,,1967-01-01,,,,92
Dahlonega Mine Train,Six Flags Over Georgia,operating,steel,Arrow Dynamics,709.0,11.0,47.0,2200,,1967-06-16,,33.7676,-84.5519,171
Alpine Sleigh Ride,Other,closed,other,,,,,,,1968-06-01,1983,,,
Thunderbolt (Kennywood),Kennywood,operating,wood,,990.0,21.0,89.0,,,1968-01-01,,40.3889,-79.865,101
Cedar Creek Mine Ride,Cedar Point,operating,steel,Arrow Development,770.0,15.0,68.0,2400,,1969-05-24,,41.4847,-82.6904,170
Mini Mine Train (Six Flags Over Texas),"Arlington, Texas, U.S.",operating,other,,,,,,,,,32.7557,-97.0702,
Serpent (roller coaster),Six Flags AstroWorld,closed,steel,Arrow Dynamics,250.0,6.1,23.0,500,,1969-01-01,"October 30, 2005",29.676,-95.407,89
Daidarasaurus,Expoland,closed,steel,Sansei Technologies,,,72.4203,,,1970-01-01,"December 9, 2007",34.8044,135.5359,393
Galaxi,Other,in_production,other,,,,,,,,,,,
Jet Star (Casino Pier),Casino Pier,closed,steel,Anton Schwarzkopf,538.0,13.5,50.1,,,1970-01-01,2000,39.9426,-74.0692,
Wildcat (Jolly Roger Amusement Park),Other,unknown,steel,Anton Schwarzkopf,,,,,,,,,,
Gold Rusher,Six Flags Magic Mountain,operating,steel,Arrow Development,790.0,21.0,56.0,1750,3.4,1971-05-29,,34.424,-118.5985,150
Magic Flyer (roller coaster),Other,unknown,steel,Bradley and Kaye,110.0,3.0,16.0,360,2.1,,1970,,,30
River King Mine Train,Six Flags St. Louis,operating,steel,Arrow Dynamics,760.0,9.8,60.0,1800,,1971-06-05,,38.5155,-90.6738,180
Excalibur (Six Flags AstroWorld),Six Flags AstroWorld,closed,steel,Arrow Dynamics,804.0,27.0,74.0,,,1972-01-01,1998,29.675,-95.407,171
Fire in the Hole (Silver Dollar City),Silver Dollar City,operating,steel,Herschend Family Entertainment,420.0,,43.0,1000,,1972-01-01,,36.6703,-93.3407,195
Jumbo Jet (Cedar Point),Other,unknown,steel,Anton Schwarzkopf,,17.0,,,,,,,,
The Racer (Kings Island),Other,operating,wood,Philadelphia Toboggan Coasters,1040.9,26.8,85.3,2640,,1972-04-29,,39.3437,-84.2647,120
Rock n' Roller Coaster (Opryland),Other,unknown,steel,Arrow Development,610.0,17.0,72.0,,,,1997,,,120
Scooby-Doo (Kings Island),Kings Island,operating,wood,Philadelphia Toboggan Coasters,410.0,11.8,56.0,1200,,1972-01-01,,39.3432,-84.2693,90
Toboggan (Hersheypark),Hersheypark,closed,steel,Chance Rides,140.0,14.0,,,,1972-01-01,1977,40.2866,-76.6561,
Carolina Goldrusher,Carowinds,operating,steel,Arrow Dynamics,731.0,13.0,48.0,2000,2.4,1973-03-31,,,,137
Great American Scream Machine (Six Flags Over Georgia),Six Flags Over Georgia,operating,wood,Philadelphia Toboggan Coasters,1200.0,32.0,92.0,1200,3.7,1973-03-31,,33.7658,-84.5514,120
Schussboomer,Worlds of Fun,closed,steel,Anton Schwarzkopf,460.0,13.5,,900,,1973-05-26,1984,39.1773,-94.489,
Big Fury,Six Flags Great Adventure,closed,steel,Pinfari,,,,,,1974-01-01,1977,40.138,-74.441,
Mini-Comet,Hersheypark,closed,steel,B.A. Schiff & Associates,,,,,,1974-05-10,"October 1, 1978",40.288,-76.657,
Runaway Mine Train (Six Flags Great Adventure),"Jackson, New Jersey, United States",operating,other,,,,,,,,,40.1377,-74.4405,
Scooby-Doo (Kings Dominion),Kings Dominion,operating,wood,Philadelphia Toboggan Coasters,422.0,11.0,56.0,1200,,1974-01-01,,37.8405,-77.4422,100
Trailblazer (roller coaster),Hersheypark,operating,steel,Arrow Development,490.0,13.0,56.0,1125,,1974-05-14,,40.2892,-76.6535,75
Corkscrew (Knott's Berry Farm),Other,unknown,steel,Arrow Development,380.0,22.0,74.0,600,,,1989,,,75
