name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Round About (roller coaster),"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",closed,other,,,,,,,,,33.714,-78.933,
Salama (roller coaster),Linnanmäki,operating,steel,Maurer AG,419.74,17.0,60.0,800,,2008-04-25,,60.1872,24.9392,
Soak'd,"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",closed,other,,,,,,,,,33.714,-78.933,
SpongeBob SquarePants Rock Bottom Plunge,Nickelodeon Universe,operating,steel,Gerstlauer,418.0,22.7,70.0,750,4.4,2008-03-15,,44.8553,-93.2425,120
Steel Hawg,Indiana Beach,operating,steel,S&S – Sansei Technologies,,29.0,66.0,,,2008-07-05,,40.7909,-86.7718,
Steel Lasso,Frontier City,operating,steel,Chance Morgan,,,48.2802,845,2.2,2008-07-18,,35.5838,-97.4405,43
T Express,Everland,operating,wood,Intamin,,,103.96336399999998,1500,,2008-03-14,,37.2898,127.2024,
Tsunami (roller coaster),Other,unknown,steel,Anton Schwarzkopf,,35.0,89.0,,,,,,,
Apocalypse: The Ride,Six Flags Magic Mountain,operating,wood,Great Coasters International,877.0,29.0,80.6,1000,,2009-05-23,,34.4213,-118.5998,180
Blue Fire,Europa-Park,operating,steel,Mack Rides,1056.0,38.0,100.0,1450,3.8,2009-04-04,,48.2624,7.7185,140
Diamondback (Kings Island),Kings Island,operating,other,Bolliger & Mabillard,1610.0,70.0,130.0,1620,4.2,2009-04-18,,39.3421,-84.2674,180
Diving Coaster,Happy Valley Shanghai,operating,steel,Bolliger & Mabillard,,,109.43512,,4.0,2009-08-16,,31.0979,121.209,140
Escape of Novgorod,Hansa-Park,operating,steel,Gerstlauer,,,99.77908,900,4.3,2009-04-09,,54.0744,10.7814,
Falcon (Duinrell),Duinrell,operating,steel,Gerstlauer,,,69.20162,850,4.5,2009-05-14,,52.1477,4.3792,42
Grover's Alpine Express,Busch Gardens Williamsburg,operating,steel,Zierer,180.0,7.3,42.6,,,2009-04-03,,37.2361,-76.6444,
Hollywood Rip Ride Rockit,Universal Studios Florida,operating,steel,Maurer AG,1200.0,51.0,105.0,1850,4.18,2009-08-19,,28.4749,-81.4683,99
Hornet (roller coaster),Other,unknown,steel,Vekoma,350.0,8.5,,,,,,,,90
Insane (Gröna Lund),Gröna Lund,operating,steel,Intamin,,,59.54558,,3.5,2009-04-25,,59.3233,18.0953,
ISpeed,Mirabilandia,operating,steel,Intamin,,55.0,120.1,,,2009-05-20,,,,1
Kozmo's Kurves,"Elysburg, Pennsylvania, United States",unknown,other,,,,,,,,,40.879,-76.505,
Manta (SeaWorld Orlando),SeaWorld Orlando,operating,steel,Bolliger & Mabillard,1024.0,43.0,90.0,1500,3.7,2009-05-22,,28.4119,-81.4617,156
Mumbo Jumbo (roller coaster),Flamingo Land Resort,operating,steel,S&S – Sansei Technologies,,30.0,66.0,,3.0,2009-07-04,,54.209,-0.808,
Prowler (roller coaster),Worlds of Fun,operating,wood,Great Coasters International,937.0,31.2,82.4,850,,2009-05-02,,39.1744,-94.4837,150
Saw – The Ride,Thorpe Park,operating,steel,Gerstlauer,720.0,30.0,89.0,,,2009-03-14,,51.4026,-0.5119,100
Teststrecke,Other,unknown,steel,Anton Schwarzkopf,670.0,28.0,84.0,,,,,,,120
The Flying Cobras,Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,"September 16, 2007",,,108
El Toro (Freizeitpark Plohn),Freizeitpark Plohn,operating,wood,Great Coasters International,,,73.385904,,,2009-04-10,,50.566,12.401,
Tranan,Skara Sommarland,operating,steel,S&S – Sansei Technologies,500.0,20.0,40.1,900,2.5,2009-05-29,,58.41,13.55,64
Wooden Coaster - Fireball,Happy Valley Shanghai,operating,wood,Martin & Vleminckx,1164.0,33.0,90.0,,,2009-08-16,,31.0987,121.214,
Air Grover,"Tampa, Florida, U.S.",operating,other,,,,,,,,,28.0379,-82.4216,
Battlestar Galactica (roller coaster),Other,operating,steel,Vekoma,,42.7,82.1,,,2010-03-18,,1.2541,103.8223,
Canopy Flyer,Universal Studios Singapore,operating,steel,Setpoint Inc.,,,,,,2010-03-18,,1.2534,103.824,
Ednör – L'Attaque,Other,unknown,steel,Vekoma,689.0,33.3,80.0,1040,3.1,,"October 30, 2005",,,60
Enchanted Airways,Universal Studios Singapore,operating,steel,Vekoma,,,45.86619,,,2010-03-18,,1.255,103.8222,66
Fiorano GT Challenge,Other,operating,steel,Maurer AG,1079.9,,95.0,,1.5,2010-11-04,,24.4864,54.6042,
Formula Rossa,Ferrari World Abu Dhabi,operating,steel,Intamin,,,239.95259399999998,625,4.8,2010-11-04,,24.4842,54.6124,92
Huracan (Belantis),Belantis,operating,steel,Gerstlauer,,,85.29502,800,4.3,2010-06-26,,51.2531,12.3125,90
Intimidator (roller coaster),Carowinds,operating,steel,Bolliger & Mabillard,1620.0,71.0,121.0,1600,4.3,2010-03-27,,35.1031,-80.9394,213
Intimidator 305,Kings Dominion,operating,steel,Intamin,1554.0,93.0,145.0,1350,,2010-04-02,,37.8375,-77.4397,180
Joris en de Draak,Other,operating,wood,Great Coasters International,,,75.63898,1750,,2010-07-01,,51.6469,5.0525,120
The Monster (Walygator Parc),Other,unknown,steel,Bolliger & Mabillard,1200.0,40.0,90.0,,,,2007,49.2299,6.1581,148
RC Racer,Other,unknown,steel,Intamin,,,,,,,,,,
Sky Rocket,Kennywood Park,operating,steel,Premier Rides,640.0,29.0,80.0,,0.8,2010-06-29,,40.3864,-79.8647,65
Space Fantasy – The Ride,Universal Studios Japan,operating,steel,Mack Rides,,,,1920,,2010-03-18,,34.6653,135.4357,275
Thirteen (roller coaster),Alton Towers,operating,steel,Intamin,760.0,20.0,68.0,1400,3.2,2010-03-20,,52.9847,-1.8904,100
Viking Voyage,"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",operating,other,,,,,,,,,28.3303,-81.5147,
Woodstock Express (Carowinds),Carowinds,operating,wood,Philadelphia Toboggan Coasters,413.0,12.0,58.0,1250,,1975-01-01,,35.101,-80.9394,60
Woodstock Express (Kings Island),Kings Island,operating,wood,Philadelphia Toboggan Coasters,410.0,11.8,56.0,1200,,1972-01-01,,39.3432,-84.2693,90
Accelerator (roller coaster),Drayton Manor,operating,steel,Vekoma,,,59.54558,750,3.0,2011-04-21,,52.6108,-1.7134,
Black Diamond (roller coaster),Knoebels Amusement Resort,operating,steel,Philadelphia Toboggan Coasters,,11.0,,,,2011-10-08,,40.8797,-76.5068,
Blue Flyer,Blackpool Pleasure Beach,operating,other,,,4.6,,,,1934-01-01,,53.7902,-3.0539,60
BomBora (Lagoon),Lagoon,operating,steel,Lagoon,320.0,14.0,50.0,,,2011-04-02,,40.9855,-111.8923,
BuzzSaw (roller coaster),Dreamworld,closed,steel,Maurer AG,,,104.6071,600,5.0,2011-09-17,31 August 2021,-27.8623,153.3149,50
Cheetah Hunt,Busch Gardens Tampa Bay,operating,steel,Intamin,1350.0,31.0,97.0,,4.0,2011-05-27,,28.0342,-82.42,
Dare Devil Dive,Six Flags Over Georgia,operating,steel,Gerstlauer,640.0,29.0,84.0,,,2011-05-28,,33.7703,-84.5479,100
Eurofighter (Zoosafari Fasanolandia),Zoosafari Fasanolandia,operating,steel,Gerstlauer,,,69.20162,,,2011-08-06,,40.8303,17.3398,
Green Lantern Coaster,Warner Bros. Movie World,operating,steel,S&S – Sansei Technologies,,,65.98294,,3.5,2011-12-23,,-27.9073,153.3136,67
Hair Raiser,Ocean Park Hong Kong,operating,steel,Bolliger & Mabillard,850.0,35.0,88.5137,,4.0,2011-12-08,,22.2357,114.1725,60
Krake,Heide Park,operating,steel,Bolliger & Mabillard,,,102.99776,,,2011-04-16,,53.0247,9.879,
New Texas Giant,Six Flags Over Texas,operating,steel,Rocky Mountain Construction,1300.0,47.0,105.0,1600,4.2,2011-04-22,,32.7564,-97.0731,205
Raptor (Gardaland),Gardaland,operating,steel,Bolliger & Mabillard,770.0,33.0,90.12304,,,2011-04-01,,45.4571,10.7119,60
Road Runner Express (Six Flags Magic Mountain),Other,unknown,steel,Vekoma,207.0,8.5,34.9,780,,,"August 21, 2005",,,44
Sky Scrapper,World Joyland,operating,steel,Bolliger & Mabillard,855.0,40.0,88.0,,3.3,2011-04-30,,31.4975,120.0411,126
Soarin' Eagle,Other,unknown,steel,Zamperla,391.0,15.0,41.4,500,3.3,,2007,,,48
Takabisha,Fuji-Q Highland,operating,steel,Gerstlauer,,,99.77908,,,2011-07-16,,35.4853,138.78,160
Tiger Express (roller coaster),Other,unknown,steel,Mack Rides,,,45.06152,1120,,,2010,,,85
Timber Drop,Fraispertuis City,operating,steel,S&S – Sansei Technologies,,,65.98294,,,2011-07-12,,48.3242,6.7295,80
Untamed (roller coaster),Canobie Lake Park,operating,steel,Gerstlauer,360.0,22.0,71.0,850,4.5,2011-06-11,,42.7962,-71.249,51
Van Helsing's Factory,Movie Park Germany,operating,steel,Gerstlauer,,,35.40548,848,4.0,2011-06-18,,51.6221,6.9752,110
Vipère (roller coaster),Other,unknown,steel,Intamin,251.0,33.0,60.0,,,2011-07-01,July 2017[1],,,
Wood Coaster (Mountain Flyer),OCT East,operating,wood,Great Coasters International,1468.0,45.0,98.5,950,,2011-07-19,,22.6145,114.2968,
Wooden Warrior,Quassy Amusement Park,operating,wood,The Gravity Group,370.0,11.0,56.0,,,2011-04-23,,41.5264,-73.1509,
Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,under_maintenance,steel,Vekoma,,,72.4203,1728,,2012-07-14,,22.3102,114.0425,194
Cliffhanger (Colorado roller coaster),Other,unknown,steel,S&MC,,17.0,55.0,,,,"October 25, 2008",,,80
Dauling Dragon,Other,operating,wood,Martin & Vleminckx,1193.0,32.0,,,,2012-04-29,,30.5912,114.3879,
Dinoconda,China Dinosaurs Park,operating,steel,S&S – Sansei Technologies,1050.0,69.0,126.0,,,2012-04-29,,31.8245,119.9955,
Dragonfly (roller coaster),Duinrell,operating,steel,Gerstlauer,,,49.88954,750,2.9,2012-03-31,,52.1472,4.3785,83
Firebird (roller coaster),Other,unknown,steel,Bolliger & Mabillard,880.0,30.0,89.0,1220,,,"September 5, 2011",,,120
Goliath (Six Flags New England),Other,unknown,steel,Vekoma,367.0,58.4,105.6,870,4.5,,,,,92
Iron Shark,Galveston Island Historic Pleasure Pier,operating,steel,Gerstlauer,380.0,30.0,84.0,,,2012-06-01,,29.2858,-94.7895,60
Leviathan (Canada's Wonderland),Canada's Wonderland,operating,steel,Bolliger & Mabillard,,,148.05928,1650,4.5,2012-05-06,,43.8445,-79.5424,208
Manta (SeaWorld San Diego),SeaWorld San Diego,operating,steel,Mack Rides,864.0,9.1,69.0,1400,3.5,2012-05-26,,32.7671,-117.228,116
OzIris,Parc Astérix,operating,steel,Bolliger & Mabillard,1000.0,40.0,90.0,1600,,2012-04-07,,49.1342,2.5663,
Polar X-plorer,Legoland Billund,operating,steel,Zierer,,,64.3736,,,2012-04-29,,55.737,9.1218,
Shambhala (roller coaster),PortAventura Park,operating,other,Bolliger & Mabillard,,,133.57522,1680,3.8,2012-05-12,,41.0847,1.1564,180
Skyrush,Hersheypark,operating,steel,Intamin,1100.0,61.0,121.0,,5.0,2012-05-26,,,,63
Stinger (roller coaster),Other,in_production,other,Vekoma,309.0,40.0,80.0,,,,,,,90
Superman: Ultimate Flight (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,operating,steel,Premier Rides,263.0,46.0,100.0,,,2012-06-30,,38.1386,-122.231,45
The Swarm (roller coaster),Thorpe Park,operating,steel,Bolliger & Mabillard,,,95.0,1100,4.5,2012-03-15,,51.4056,-0.5154,75
Triops (roller coaster),Other,in_production,other,Vekoma,309.0,40.0,80.0,,,,,,,90
Verbolten,Busch Gardens Williamsburg,operating,steel,Zierer,864.0,,85.0,,,2012-05-18,,37.2315,-76.6449,205
Wild Eagle,Dollywood,operating,steel,Bolliger & Mabillard,953.0,64.0,98.0,,,2012-03-24,,35.7947,-83.5301,142
Wild West Express Coaster,Other,unknown,steel,Zierer,60.0,3.0,26.0,600,,,"June 30, 2009",,,
Wodan Timbur Coaster,Europa-Park,operating,wood,Great Coasters International,1050.0,40.0,99.9,1250,3.5,2012-03-31,,48.2614,7.7192,205
X-Flight (Six Flags Great America),Six Flags Great America,operating,steel,Bolliger & Mabillard,910.0,37.0,89.0,,,2012-05-16,,42.3654,-87.9338,75
Abyss (roller coaster),Adventure World,operating,steel,Gerstlauer,,,85.29502,,4.5,2013-11-01,,-32.0955,115.817,120
Boomerang (Six Flags St. Louis),Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,"September 3, 2012",,,108
Coast Rider,Knott's Berry Farm,operating,steel,Mack Rides,408.0,16.0,,,,2013-05-25,,33.845,-118.0019,150
Crazy Bird,Happy Valley Tianjin,operating,steel,S&S – Sansei Technologies,,,,,,2013-12-22,,39.1847,117.4686,
Deep Space (roller coaster),Adlabs Imagica,operating,steel,Premier Rides,520.0,17.5,68.4,600,,2013-01-01,,18.7647,-73.2805,116
Flying Turns (Knoebels),Knoebels Amusement Resort,operating,wood,Knoebels Amusement Resort,400.0,15.0,39.0,,,2013-10-05,,40.8784,-76.5051,
Freedom Flyer,Fun Spot America,operating,steel,Vekoma,395.0,19.6,55.0,758,2.5,2013-06-08,,28.4662,-81.4561,63
Full Throttle (roller coaster),Six Flags Magic Mountain,operating,steel,Premier Rides,670.0,49.0,110.0,800,4.0,2013-06-22,,34.4232,-118.5972,90
GateKeeper (roller coaster),Cedar Point,operating,steel,Bolliger & Mabillard,1269.0,52.0,108.0,1710,4.0,2013-05-11,,41.4806,-82.679,160
Gold Striker,California's Great America,operating,wood,Great Coasters International,974.0,33.0,86.4,850,4.2,2013-05-31,,37.3967,-121.9749,150
Iron Rattler,Six Flags Fiesta Texas,operating,steel,Rocky Mountain Construction,995.0,55.0,110.0,850,,2013-05-25,,,,
The Joker (Six Flags México),Other,unknown,steel,Gerstlauer,412.0,15.0,50.0,,,,2012,19.2951,-99.2082,
Karacho,Erlebnispark Tripsdrill,operating,steel,Gerstlauer,,,90.12304,960,,2013-07-10,,49.0377,9.0544,
Nitro (Imagicaa),Imagicaa,operating,steel,Bolliger & Mabillard,850.0,40.0,104.9,,,2013-10-01,,18.7664,73.28,150
Orkanen,Fårup Sommarland,operating,steel,Vekoma,453.0,19.3,75.0,670,3.0,2013-06-05,,57.27,9.6453,60
Outlaw Run,Silver Dollar City,operating,wood,Rocky Mountain Construction,895.0,33.0,109.0,,,2013-03-15,,36.6681,-93.34,87
Ring Racer,Nürburgring,closed,steel,S&S - Sansei Technologies,,,159.968396,400,5.6,2013-10-31,4 November 2013,50.3361,6.9492,85
The Smiler,Alton Towers,operating,steel,Gerstlauer,1170.0,,85.0,1200,4.8,2013-05-31,,52.9872,-1.8953,165
Smoky Mountain Alpine Coaster,Other,operating,steel,Wiegand,,1200.0,43.0,,,2013-08-03,,35.7934,-83.5965,78
Storm Coaster,Sea World (Australia),operating,steel,Mack Rides,,,69.20162,,3.0,2013-12-06,,-27.9563,153.4258,120
White Lightning (roller coaster),Fun Spot America,operating,wood,Great Coasters International,619.0,21.2,71.3,,,2013-06-07,,28.4662,-81.4564,75
Wild Kitty,Other,unknown,steel,Allan Herschell Company,,3.7,,100,,,,,,
Woodstock Express (Kings Dominion),Kings Dominion,operating,wood,Philadelphia Toboggan Coasters,422.0,11.0,56.0,1200,,1974-01-01,,37.8405,-77.4422,100
Alpina Blitz,Nigloland,operating,steel,Mack Rides,,,83.68568,,4.3,2014-04-12,,48.2617,4.6149,
Arthur – The Ride,Europa-Park,operating,steel,Mack Rides,,,30.57746,1600,,2014-06-01,,48.2639,7.7237,240
Banshee (roller coaster),Kings Island,operating,steel,Bolliger & Mabillard,1257.0,51.0,109.0,1650,,2014-04-18,,39.3457,-84.2655,160
The Bat (Kings Island; opened 1993),Kings Island,operating,steel,Arrow Dynamics,717.0,24.0,82.0,1200,2.9,1993-04-09,,39.3476,-84.2652,112
Dragon Wagon (Indiana Beach),Indiana Beach,closed,steel,Wisdom Rides,,,,,,2014-08-01,2018,40.79,-86.7713,
Family Inverted Coaster (Happy Valley Shanghai),Happy Valley Shanghai,operating,steel,Bolliger & Mabillard,405.0,20.0,48.9,,,2014-07-05,,31.0973,121.2087,
FireChaser Express,Dollywood,operating,steel,Gerstlauer,740.0,24.0,55.5,750,,2014-03-22,,35.7947,-83.5301,139
Flug der Dämonen,Heide Park Resort,operating,steel,Bolliger & Mabillard,,,99.77908,1060,4.0,2014-03-29,,53.0262,9.8796,52
Goliath (Six Flags Great America),Six Flags Great America,operating,other,Rocky Mountain Construction,940.0,50.0,116.0,800,,2014-06-19,,42.3661,-87.9311,105
Harry Potter and the Escape from Gringotts,Universal Studios Florida,operating,steel,Intamin,,,,,,2014-07-08,,28.4803,-81.47,300
Helix (roller coaster),Liseberg,operating,steel,Mack Rides,,,99.77908,1350,4.3,2014-04-26,,57.6953,11.9908,130
Lightning Run,Kentucky Kingdom,operating,other,Chance Rides,760.0,,89.0,800,,2014-05-24,,38.1965,-85.744,120
El Loco (Adventuredome),Adventuredome,operating,steel,S&S – Sansei Technologies,400.0,27.0,72.0,,,2014-02-18,,36.1375,-115.1666,73
Medusa Steel Coaster,Six Flags México,operating,steel,Rocky Mountain Construction,910.0,36.0,93.0,,,2014-06-14,,19.2945,-99.2112,105
Parrot Coaster,Chime-Long Ocean Kingdom,operating,steel,Bolliger & Mabillard,,50.0,108.0,,,2014-01-25,,22.1016,113.529,
Roar-o-Saurus,Story Land,operating,wood,The Gravity Group,380.0,12.0,53.0,,,2014-05-24,,44.1161,-71.1828,
Seven Dwarfs Mine Train,Other,unknown,steel,Vekoma,610.0,,55.0,,,,,,,170
Thunderbird (Holiday World),Holiday World & Splashin' Safari,operating,steel,Bolliger & Mabillard,925.0,43.0,97.0,1140,,2015-04-25,,38.1242,-86.909,78
Thunderbolt (2014 roller coaster),Luna Park,operating,steel,Zamperla,681.0,35.0,90.0,,4.3,2014-06-14,,40.5735,-73.9826,38
Twist Coaster Robin,Yomiuriland,closed,steel,Sansei Technologies,,,62.76426,,3.9,2014-03-19,19 March 2014,35.6253,139.5194,
Wonder Mountain's Guardian,Canada's Wonderland,operating,steel,Art Engineering,,,,650,,2014-05-24,,43.84,-79.54,180
Zimerman (roller coaster),Other,unknown,steel,Arrow Dynamics,477.0,21.3,88.5,,,,"October 25, 2005",,,80
Acrobat (roller coaster),Nagashima Spa Land,operating,steel,Bolliger & Mabillard,1021.0,43.0,90.0,,,2015-07-18,,,,180
Baron 1898,Efteling,operating,steel,Bolliger & Mabillard,,,90.12304,1000,,2015-07-01,,51.6482,5.0508,130
Batman: The Ride (S&S Free Spin),Other,unknown,steel,S&S – Sansei Technologies,311.0,37.0,61.0,720,,,,,,
Cannibal (roller coaster),Lagoon,operating,steel,Lagoon Corporation,834.0,63.0,110.0,,4.2,2015-07-02,,40.9874,-111.8955,150
Fury 325,Carowinds,operating,steel,Bolliger & Mabillard,2012.0,99.0,153.0,1470,,2015-03-28,,35.1055,-80.9425,
Harpy (Xishuangbanna Theme Park),Xishuangbanna Theme Park,closed,steel,Bolliger & Mabillard,885.0,40.0,85.0,,,2015-09-26,,22.0277,100.742,
Impulse (roller coaster),Knoebels Amusement Resort,operating,steel,Zierer,602.0,30.0,89.0,,,2015-04-25,,40.8798,-76.5018,80
Jumbo Jet (Chelyuskintsev Park),Other,unknown,steel,Anton Schwarzkopf,,17.0,,,,,,,,
Junker (roller coaster),PowerPark,operating,steel,Gerstlauer,860.0,40.0,104.4,,4.5,2015-05-30,,63.2309,22.8555,60
Laff Trakk,Hersheypark,operating,steel,Maurer AG,430.0,16.0,64.0,850,,2015-05-23,,40.2935,-76.6551,70
Oblivion: The Black Hole,Gardaland,operating,steel,Bolliger & Mabillard,566.0,42.5,100.1,1890,,2015-03-28,,45.4582,10.7111,
Octonauts Rollercoaster Adventure,Alton Towers,operating,steel,Zamperla,143.0,6.5,,,,2015-03-21,,,,
Puss in Boots' Giant Journey,Universal Studios Singapore,operating,steel,Zamperla,,,,,,2015-04-08,,1.2545,103.8245,
Rewind Racers,Adventure City,operating,steel,Gerstlauer,181.0,12.0,50.1,,,2015-06-06,,33.8151,-117.993,
T3 (roller coaster),Kentucky Kingdom,operating,steel,Vekoma,662.0,31.0,80.0,900,,1995-04-08,,38.1941,-85.747,96
Tempesto,Busch Gardens Williamsburg,operating,steel,Premier Rides,263.0,46.0,100.0,,,2015-04-25,,37.2347,-76.6421,
The Cú Chulainn Coaster,Tayto Park,operating,wood,The Gravity Group,,,90.12304,700,,2015-06-06,,53.5427,-6.4628,165
The Oath of Kärnan,Hansa-Park,operating,steel,Gerstlauer,,,127.13786,200,5.0,2015-07-01,,54.0769,10.78,217
Turbulence (roller coaster),Adventureland (New York),operating,steel,Mack Rides,382.0,17.0,64.0,,,2015-05-22,,40.7525,-73.4197,
Twisted Colossus,Six Flags Magic Mountain,operating,steel,Rocky Mountain Construction,1520.0,37.0,92.0,,,2015-05-23,,34.4278,-118.5975,220
Wicked Cyclone,Six Flags New England,operating,steel,Rocky Mountain Construction,1010.0,33.0,89.0,,,2015-05-24,,42.0403,-72.6156,
ZDT's Amusement Park,ZDT's Amusement Park,operating,wood,The Gravity Group,,20.0,64.3736,700,,2015-10-17,,,,
Cobra's Curse,Busch Gardens Tampa Bay,operating,steel,Mack Rides,640.0,21.0,64.0,1000,,2016-06-17,,,,
Flying Aces (roller coaster),Ferrari World Abu Dhabi,operating,steel,Intamin,,,120.7005,1008,5.0,2016-02-24,,,,
The Flying Dinosaur,Universal Studios Japan,operating,steel,Bolliger & Mabillard,1124.0,46.0,100.0,,,2016-03-18,,34.6634,135.4305,
Formuła (Energylandia),Energylandia,operating,steel,Vekoma,,,79.179528,,3.8,2016-06-25,,,,
The Joker (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,operating,other,Rocky Mountain Construction,980.0,30.0,85.0,,,2016-05-29,,,,120
Lightning Rod (roller coaster),Dollywood,operating,steel,Rocky Mountain Construction,1200.0,,117.0,,3.5,2016-06-13,,,,192
Lost Gravity (roller coaster),Walibi Holland,operating,steel,Mack Rides,,,86.90436,800,4.3,2016-03-24,,52.4424,5.7663,153
Mako (roller coaster),SeaWorld Orlando,operating,steel,Bolliger & Mabillard,1450.0,61.0,117.0,,,2016-06-10,,28.4095,-81.4591,
The Monster (Adventureland),Adventureland (Iowa),operating,steel,Gerstlauer,,,104.6071,3,,2016-06-04,,41.6518,-93.5014,120
Pulsar (roller coaster),Walibi Belgium,operating,steel,Mack Rides,,,101.38842,950,,2016-06-04,,50.6988,4.5903,78
Raik,Phantasialand,operating,steel,Vekoma,210.0,25.0,62.0,720,,2016-06-30,,50.7996,6.8828,
Recoil (Wonderla Hyderabad),Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,,,,,,108
Taron (roller coaster),Phantasialand,operating,steel,Intamin,,,117.48182,1200,,2016-06-30,,50.7996,6.8828,
The Joker (Six Flags Great Adventure),Other,unknown,steel,S&S – Sansei Technologies,311.0,37.0,61.0,720,,,,,,
Tron Lightcycle Power Run,Other,unknown,steel,Vekoma,966.0,23.8,95.4,1680,4.0,2016-06-16,,,,
Valravn (roller coaster),Cedar Point,operating,steel,Bolliger & Mabillard,1041.0,68.0,121.0,1200,,2016-05-07,,41.4813,-82.684,143
Wildfire (Kolmården Wildlife Park),Kolmården Wildlife Park,operating,wood,Rocky Mountain Construction,,,114.26313999999999,960,4.0,2016-06-28,,58.6653,16.4664,120
Dawson Duel (roller coaster),Other,operating,steel,Wiegand,490.0,25.0,40.1,800,,2017-05-05,,50.8483,2.9475,
DC Rivals HyperCoaster,Warner Bros. Movie World,operating,steel,Mack Rides,,,115.06781,960,4.3,2017-09-22,,-27.908,153.314,
Gold Rush (Slagharen),Attractiepark Slagharen,operating,steel,Gerstlauer,,33.0,95.0,800,,2017-04-13,,52.6244,6.5619,
Hydrus (roller coaster),Casino Pier,operating,steel,Gerstlauer,320.0,22.0,72.0,,,2017-05-26,,39.9428,-74.0721,
InvadR,Busch Gardens Williamsburg,operating,wood,Great Coasters International,646.0,18.0,77.0,,,2017-04-07,,37.2325,-76.6486,
Lech Coaster,Legendia,operating,steel,Vekoma,,,94.95106,1000,,2017-07-01,,,,104
Mine Blower,Fun Spot America (Kissimmee),operating,wood,The Gravity Group,700.0,25.0,78.1,,,2017-06-23,,,,
Mystic Timbers,Kings Island,operating,wood,Great Coasters International,995.0,33.0,85.0,1200,,2017-04-15,,,,120
Patriot (California's Great America),California's Great America,operating,steel,Bolliger & Mabillard,590.0,28.0,72.0,1200,,1991-03-09,,37.3967,-121.9732,134
